City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,274.25,63,98,14.17,TF,1724371639
1,klyuchi,52.2667,79.1667,291.36,62,89,3.04,RU,1724371641
2,remire-montjoly,4.9167,-52.2667,300.17,89,0,1.54,GF,1724371642
3,blackmans bay,-43.0167,147.3167,287.33,61,46,4.41,AU,1724371644
4,guichon,-32.35,-57.2,281.88,89,100,4.53,UY,1724371645
5,la ronge,55.1001,-105.2842,289.29,63,100,3.09,CA,1724371122
6,bredasdorp,-34.5322,20.0403,280.57,81,34,2.36,ZA,1724371648
7,am djarass,-34.5322,20.0403,280.57,81,34,2.36,ZA,1724371648
8,upata,8.0086,-62.3989,297.76,76,92,2.09,VE,1724371650
9,ust-nera,64.5667,143.2,290.67,44,68,1.94,RU,1724371651
10,torghay,49.6339,63.4981,288.51,70,2,5.19,KZ,1724371653
11,dudinka,69.4058,86.1778,281.06,93,25,3.15,RU,1724371406
12,bethel,41.3712,-73.414,292.05,82,0,2.06,US,1724371648
13,adamstown,-25.066,-130.1015,291.36,65,74,6.29,PN,1724371657
14,kapuskasing,49.4169,-82.4331,293.37,68,34,1.97,CA,1724371658
15,ke-macina,13.9623,-5.3572,301.09,71,99,3.79,ML,1724371659
16,margaret river,-33.95,115.0667,287.38,78,91,6.83,AU,1724371661
17,jamestown,42.097,-79.2353,290.95,67,0,2.06,US,1724371662
18,hawaiian paradise park,19.5933,-154.9731,302.44,70,63,1.34,US,1724371663
19,umm kaddadah,13.6017,26.6876,299.9,64,93,7.56,SD,1724371665
20,hadibu,12.65,54.0333,298.54,80,93,6.66,YE,1724371666
21,ilulissat,69.2167,-51.1,278.16,81,100,2.57,GL,1724371667
22,sulphur,30.2366,-93.3774,307.14,50,0,2.57,US,1724371470
23,port saint john's,-31.6229,29.5448,288.45,63,100,3.53,ZA,1724371670
24,puerto natales,-51.7236,-72.4875,274.66,90,72,1.85,CL,1724371671
25,qarazhal,48.0078,70.7903,291.64,56,65,2.78,KZ,1724371672
26,kodiak,57.79,-152.4072,287.88,55,0,4.12,US,1724371674
27,bilibino,68.0546,166.4372,276.13,99,100,2.01,RU,1724371675
28,eureka,40.8021,-124.1637,290.81,91,99,0.45,US,1724371423
29,broken hill,-31.95,141.4333,293.21,35,77,11.21,AU,1724371677
30,st. john's,47.5649,-52.7093,286.92,87,75,2.06,CA,1724370799
31,arraial do cabo,-22.9661,-42.0278,296.04,80,0,13.82,BR,1724371680
32,nsanje,-16.92,35.262,292.71,88,3,1.54,MW,1724371682
33,yellowknife,62.456,-114.3525,288.44,77,75,8.75,CA,1724371531
34,olonkinbyen,70.9221,-8.7187,278.87,97,100,8.71,SJ,1724371684
35,waitangi,-43.9535,-176.5597,285.83,84,28,5.36,NZ,1724371686
36,udachny,66.4167,112.4,288.1,70,74,1.21,RU,1724371553
37,talnakh,69.4865,88.3972,282.24,91,90,2.1,RU,1724371688
38,sur,22.5667,59.5289,301.4,73,3,2.63,OM,1724371690
39,grytviken,-54.2811,-36.5092,271.56,90,48,3.17,GS,1724371691
40,boa vista,2.8197,-60.6733,302.14,65,40,3.09,BR,1724371521
41,stanley,54.868,-1.6985,284.97,93,75,2.06,GB,1724371693
42,ushuaia,-54.8,-68.3,279.96,70,20,8.75,AR,1724371399
43,hakui,36.8833,136.7833,304.01,64,68,3.22,JP,1724371696
44,sao felix do xingu,-6.6447,-51.995,302.86,33,43,0.46,BR,1724371499
45,latina,41.45,13.1,299.08,84,5,0.89,IT,1724371699
46,kiunga,-6.1219,141.2906,299.01,92,100,1.41,PG,1724371700
47,avarua,-21.2078,-159.775,298.18,73,75,4.63,CK,1724371701
48,papatowai,-46.5619,169.4708,285.89,74,100,0.44,NZ,1724371702
49,robore,-18.3333,-59.75,300.54,33,28,2.12,BO,1724371704
50,puerto ayora,-0.7393,-90.3518,292.9,90,40,1.79,EC,1724371705
51,qaqortoq,60.7167,-46.0333,280.11,70,86,2.11,GL,1724371706
52,hithadhoo,-0.6,73.0833,301.2,73,86,4.02,MV,1724371708
53,scarborough,54.2797,-0.4044,285.25,89,100,1.79,GB,1724371650
54,broome,42.2506,-75.833,289.86,71,8,1.2,US,1724371710
55,sochi,43.6,39.7303,298.2,70,32,3.69,RU,1724371598
56,ulcinj,41.9294,19.2244,299.82,55,50,2.16,ME,1724371713
57,yuzhno-kurilsk,44.0306,145.8556,293.01,98,100,8.29,RU,1724371714
58,la'ie,21.6477,-157.9253,303.18,71,7,3.58,US,1724371715
59,sitka,57.0531,-135.33,285.0,88,100,1.92,US,1724371717
60,montevideo,-34.8335,-56.1674,282.16,93,100,6.69,UY,1724371461
61,linares,-35.85,-71.6,279.42,87,100,1.74,CL,1724371719
62,invercargill,-46.4,168.35,286.49,77,100,1.34,NZ,1724371721
63,taiohae,-46.4,168.35,286.49,77,100,1.34,NZ,1724371721
64,albany,42.6001,-73.9662,293.11,70,37,1.79,US,1724371596
65,manismata,-2.4667,111.0333,296.46,96,99,0.8,ID,1724371725
66,saipan,15.1355,145.701,304.54,70,40,5.14,MP,1724371462
67,tahoua,14.8888,5.2692,300.35,66,61,5.14,NE,1724371727
68,pilar,-9.5972,-35.9567,294.33,91,14,3.01,BR,1724371728
69,longyearbyen,78.2186,15.6401,284.06,71,75,5.14,SJ,1724371466
70,east london,-33.0153,27.9116,286.86,61,94,5.31,ZA,1724371531
71,luderitz,-26.6481,15.1594,287.45,71,0,2.13,NA,1724371732
72,sinop,41.7711,34.8709,291.13,89,1,1.43,TR,1724371734
73,enshi,30.3,109.4833,300.62,82,0,0.25,CN,1724371735
74,tazacorte,28.629,-17.9293,295.69,73,20,7.72,ES,1724371736
75,poxoreo,-15.8372,-54.3892,299.34,25,1,1.63,BR,1724371537
76,whitehorse,60.7161,-135.0538,283.6,92,100,0.45,CA,1724371739
77,cochirleanca,45.2167,27.0333,295.96,53,58,5.63,RO,1724371740
78,port mathurin,-19.6833,63.4167,295.48,73,96,9.74,MU,1724371742
79,comodoro rivadavia,-45.8667,-67.5,278.07,87,0,1.03,AR,1724371537
80,san patricio,28.017,-97.5169,306.12,55,5,6.94,US,1724371744
81,chicxulub puerto,28.017,-97.5169,306.12,55,5,6.94,US,1724371744
82,tiksi,71.6872,128.8694,277.1,90,77,3.01,RU,1724371747
83,talara,-4.5772,-81.2719,293.57,83,0,6.69,PE,1724371540
84,al mijlad,11.0333,27.7333,296.57,84,87,2.82,SD,1724371750
85,bengkulu,-3.8004,102.2655,297.25,94,42,2.84,ID,1724371751
86,la passe,45.5549,-0.8967,291.59,82,27,3.63,FR,1724371752
87,vadso,70.0744,29.7487,290.24,72,100,3.09,NO,1724371754
88,polyarnyy,69.1989,33.4478,286.03,71,66,5.95,RU,1724371755
89,severo-yeniseyskiy,60.3725,93.0408,284.15,96,76,2.3,RU,1724371756
90,yorkton,51.2167,-102.4677,301.37,23,8,5.33,CA,1724371758
91,hilo,19.7299,-155.0907,302.56,86,73,2.68,US,1724371553
92,amga,60.8953,131.9608,290.67,71,98,0.64,RU,1724371760
93,cannonvale,-20.2833,148.7,294.81,66,0,4.61,AU,1724371762
94,buala,-8.145,159.5921,301.27,79,97,6.95,SB,1724371763
95,puerto barrios,15.7167,-88.6,298.39,94,76,1.86,GT,1724371764
96,brzeg,50.8608,17.4674,288.73,61,41,3.14,PL,1724371766
97,kenai,60.5544,-151.2583,289.34,68,0,9.26,US,1724371767
98,cruzeiro do sul,-29.5128,-51.9853,290.66,89,100,1.57,BR,1724371691
99,al ghayzah,16.2079,52.176,297.18,90,24,2.77,YE,1724371770
100,tionk essil,12.7856,-16.5217,298.6,92,81,2.95,SN,1724371772
101,fale old settlement,-9.3852,-171.2468,300.42,79,31,11.06,TK,1724371773
102,punta arenas,-53.15,-70.9167,279.21,81,40,10.29,CL,1724371635
103,haiku-pauwela,20.9219,-156.3051,302.74,63,40,9.77,US,1724371776
104,ulanhot,46.0833,122.0833,294.14,77,29,2.12,CN,1724371777
105,tazovsky,67.4667,78.7,280.9,95,80,2.81,RU,1724371778
106,wailua homesteads,22.0669,-159.378,301.59,69,75,6.17,US,1724371779
107,arkhangel'sk,64.5401,40.5433,286.21,88,0,3.0,RU,1724371781
108,point pedro,9.8167,80.2333,301.06,80,100,7.79,LK,1724371782
109,el alto,-4.2714,-81.2147,290.7,83,7,8.81,PE,1724371783
110,lata,40.1629,-8.3327,285.51,98,10,1.29,PT,1724371785
111,camana,-16.6228,-72.7111,288.36,92,100,6.1,PE,1724371786
112,enewetak,11.3474,162.3373,302.0,75,47,6.75,MH,1724371787
113,urengoy,65.9667,78.3667,280.55,94,14,2.71,RU,1724371788
114,mejit,10.2753,170.8646,301.23,80,100,6.85,MH,1724371790
115,dhamtari,20.7072,81.5497,296.46,97,100,2.49,IN,1724371791
116,west island,-12.1568,96.8225,299.14,83,20,5.66,CC,1724371520
117,santa cruz,-17.8,-63.1667,296.85,53,75,7.72,BO,1724371745
118,georgetown,5.4112,100.3354,298.12,93,20,2.24,MY,1724371330
119,yuktae-dong,40.0247,128.1597,299.76,81,0,5.49,KP,1724371796
120,holualoa,19.6228,-155.9522,300.06,82,75,5.66,US,1724371798
121,iqaluit,63.7506,-68.5145,284.0,87,75,1.54,CA,1724371766
122,lichtenburg,-26.152,26.1597,283.42,24,0,4.27,ZA,1724371800
123,fuvahmulah,-26.152,26.1597,283.42,24,0,4.27,ZA,1724371800
124,uryupinsk,50.8047,42.0138,291.76,44,25,3.4,RU,1724371803
125,ribeira grande,38.5167,-28.7,298.58,88,75,5.14,PT,1724371804
126,tromso,69.6496,18.957,286.16,88,36,2.06,NO,1724371806
127,aasiaat,68.7098,-52.8699,275.32,83,100,6.29,GL,1724371807
128,ketchikan,55.3422,-131.6461,290.01,63,100,0.98,US,1724371808
129,barano d'ischia,40.718,13.9309,299.37,87,0,1.34,IT,1724371810
130,owando,-0.4819,15.8999,297.12,72,97,0.76,CG,1724371811
131,edinburgh of the seven seas,-37.0676,-12.3116,285.13,70,34,12.85,SH,1724371812
132,winder,33.9926,-83.7202,298.64,59,0,0.0,US,1724371814
133,iskateley,67.6803,53.1512,283.6,82,100,3.39,RU,1724371815
134,zaozersk,69.4005,32.4476,286.28,70,53,3.63,RU,1724371817
135,badger,64.8,-147.5333,283.29,91,100,6.69,US,1724371818
136,felipe carrillo puerto,19.5833,-88.05,301.48,69,52,2.66,MX,1724371819
137,port lincoln,-34.7333,135.8667,292.19,52,93,9.81,AU,1724371820
138,sanming,26.2486,117.6186,299.29,91,37,0.4,CN,1724371822
139,korla,41.7597,86.1469,300.82,29,99,5.29,CN,1724371823
140,silsbee,30.3491,-94.178,305.84,78,51,3.76,US,1724371824
141,yayva,59.3303,57.2641,281.98,98,8,2.21,RU,1724371826
